prediction,src,gt
"Chanting, the choir raised the volume as the celebrant intoned the prayer.",Chanting the choir raised the volume as the celebrant intoned the prayer.,"Chanting, the choir raised the volume as the celebrant intoned the prayer."
"A six-month-old calf was submitted for examination, showing lameness in all four legs, which had been present since soon after birth.","A six-month-old calf was submitted for examination, showing lameness in all four legs which had been present since soon after birth.","A six-month-old calf was submitted for examination, showing lameness in all four legs, which had been present since soon after birth."
Planning authorities should provide alternative locations for small businesses which are or would be offensive in a residential area.,Planning authorities should provide alternative locations for small businesses which are or would be offensive in a residential area.,"Planning authorities should provide alternative locations for small businesses, which are or would be offensive in a residential area."
"As the machine develops, the forms we use to record data from past projects will be amended.",As the machine develops the forms we use to record data from past projects will be amended.,"As the machine develops, the forms we use to record data from past projects will be amended."
"As mentioned, first impressions can be misleading.","As mentioned, first impressions can be misleading.","As mentioned first, impressions can be misleading."
"To get a clean assembly load, the assembled equals table before the assembly is run.",To get a clean assembly load the assembled equals table before the assembly is run.,"To get a clean assembly, load the assembled equals table before the assembly is run."
"Executors delay giving information about substantial deviations from agreed dates. Because of this, action cannot be taken in time.",Executors delay giving information about substantial deviations from agreed dates. Because of this action cannot be taken in time.,"Executors delay giving information about substantial deviations from agreed dates. Because of this, action cannot be taken in time."
"These glycans are poorly transferred to proteins, resulting in unoccupied glycosylation sequons.",These glycans are poorly transferred to proteins resulting in unoccupied glycosylation sequons.,"These glycans are poorly transferred to proteins, resulting in unoccupied glycosylation sequons."
"X is an effective acute, oral treatment for migraine with a rapid onset of action.","X is an effective acute, oral treatment for migraine with a rapid onset of action","X is an effective acute, oral treatment for migraine, with a rapid onset of action"
"No newspaper is completely unbiased, in my expert opinion.",No newspaper is completely unbiased in my expert opinion.,"No newspaper is completely unbiased, in my expert opinion."
"Steam, for example, is just as damaging as acid for that material.",Steam for example is just as damaging as acid for that material.,"Steam, for example, is just as damaging as acid for that material."
"My favourite opera composers are Verdi, Puccini, Mozart and Gilbert and Sullivan.","My favourite opera composers are Verdi, Puccini, Mozart and Gilbert and Sullivan.","My favourite opera composers are Verdi, Puccini, Mozart, and Gilbert and Sullivan."
The only problem with the new project established in the desert at high cost is the lack of good access roads.,The only problem with the new project established in the desert at high cost is the lack of good access roads.,"The only problem with the new project, established in the desert at high cost, is the lack of good access roads."
"Having failed in all previous attempts, he evolved a new plan, which surprised everybody.",Having failed in all previous attempts he evolved a new plan which surprised everybody.,"Having failed in all previous attempts, he evolved a new plan which surprised everybody."
"When the film was developed, none of the pictures proved satisfactory.",When the film was developed none of the pictures proved satisfactory.,"When the film was developed, none of the pictures proved satisfactory."
"The school has adequate study facilities, but hardly any sports facilities.",The school has adequate study facilities but hardly any sports facilities.,"The school has adequate study facilities, but hardly any sports facilities."
"In his daily traffickings, a Cairene resident is often made conscious of the suffocating pollution.",In his daily traffickings a Cairene resident is often made conscious of the suffocating pollution.,"In his daily traffickings, a Cairene resident is often made conscious of the suffocating pollution."
"If drama implies conflict and poetry metaphor, then poetic drama must imply the dramatization of metaphor!",If drama implies conflict and poetry metaphor then poetic drama must imply the dramatization of metaphor!,"If drama implies conflict, and poetry metaphor, then poetic drama must imply the dramatization of metaphor!"
"Items serve as the nodes of the knowledge network, and user-defined relators serve as the links between items.",Items serve as the nodes of the knowledge network and user-defined relators serve as the links between items.,"Items serve as the nodes of the knowledge network, and user-defined relators serve as the links between items."
A translator of technical texts often has to handle large amounts of information and needs to ensure that it is stored in an easily retrievable form.,A translator of technical texts often has to handle large amounts of information and needs to ensure that it is stored in an easily retrievable form.,"A translator of technical texts often has to handle large amounts of information, and needs to ensure that it is stored in an easily retrievable form."
The calculator executed the functions that had been selected and displayed the results on the top half of the screen.,The calculator executed the functions that had been selected and displayed the results on the top half of the screen.,"The calculator executed the functions that had been selected, and displayed the results on the top half of the screen."
"There are many disturbing factors: fatigue, poor eye-sight, poor reading ability, anxiety or undue caution, distractibility, and inadequate motivation.","There are many disturbing factors fatigue, poor eye-sight, poor reading ability, anxiety or undue caution, distractibility, and inadequate motivation.","There are many disturbing factors: fatigue, poor eye-sight, poor reading ability, anxiety or undue caution, distractibility, and inadequate motivation."
"These are the components required: motor brushes, bearings, and wiring.","These are the components required motor brushes, bearings, and wiring.","These are the components required: motor brushes, bearings, and wiring."
"When a source of sound is operating in a room or other enclosure, the sound pressure in the room consists of two components: direct sound and reverberant sound.","When a source of sound is operating in a room or other enclosure, the sound pressure in the room consists of two components direct sound and reverberant sound.","When a source of sound is operating in a room or other enclosure, the sound pressure in the room consists of two components: direct sound and reverberant sound."
The crucial words in the specification are the signals must be routed internally.,The crucial words in the specification are the signals must be routed internally.,The crucial words in the specification are ‘the signals must be routed internally’.
Would you please supply a list of the correct settings for the ABC?,Would you please supply a list of the correct settings for the ABC,Would you please supply a list of the correct settings for the ABC?
"Set BATTERY B switch to OFF, set BATTERY C switch to ON.",Set BATTERY B switch to OFF set BATTERY C switch to ON.,Set BATTERY B switch to OFF; set BATTERY C switch to ON.
"What we see, we believe, what we hear, we register.","What we see, we believe what we hear, we register","What we see, we believe; what we hear, we register"
"However, oxidative stress occurs when the balance is disturbed, through an increase in reactive oxygen species.","However oxidative stress occurs when the balance is disturbed, through an increase in reactive oxygen species","However, oxidative stress occurs when the balance is disturbed, through an increase in reactive oxygen species."
"Should any burner fail to ignite, its respective section will revert to 'purge', and in this way the system ensures safe removal of unburned fuel.",Should any burner fail to ignite its respective section will revert to 'purge' and in this way the system ensures safe removal of unburned fuel,"Should any burner fail to ignite, its respective section will revert to 'purge', and in this way the system ensures safe removal of unburned fuel"
"At present, rates of return giving a net profit of only 7% are widespread in the industry, indicating increased competition and tighter profit margins.","At present rates of return giving a net profit of only 7% are widespread in the industry, indicating increased competition and tighter profit margins.","At present, rates of return giving a net profit of only 7% are widespread in the industry, indicating increased competition and tighter profit margins."
"He draws an analogy between this and the learning process of a new-born child as it develops into maturity, and quotes Freud: ""Where id was, there ego shall be.""","He draws an analogy between this and the learning process of a new-born child as it develops into maturity and quotes Freud: ""Where id was, there ego shall be.""","He draws an analogy between this and the learning process of a new-born child as it develops into maturity, and quotes Freud: ""Where id was, there ego shall be."""
"Unfortunately, though, incorrect predictions were made about both negative and positive experiments, leading to doubts about the reliability of the underlying model.","Unfortunately though incorrect predictions were made about both negative and positive experiments, leading to doubts about the reliability of the underlying model.","Unfortunately though, incorrect predictions were made about both negative and positive experiments, leading to doubts about the reliability of the underlying model."
Reject the applicant using procedure XYZ to ensure compliance with standard evaluation protocols.,Reject the applicant using procedure XYZ to ensure compliance with standard evaluation protocols.,"Reject the applicant, using procedure XYZ to ensure compliance with standard evaluation protocols."
"It represents an early, quantifiable hyperplastic response of the tissue to injury.",It represents an early quantifiable hyperplastic response of the tissue to injury.,"It represents an early, quantifiable, hyperplastic response of the tissue to injury."
Return the XYZ to the operator following the ABC routine to verify proper functioning and safety.,Return the XYZ to the operator following the ABC routine to verify proper functioning and safety.,"Return the XYZ to the operator, following the ABC routine to verify proper functioning and safety."
Insert the new disk into the disk drive with the notch at the bottom facing the drive’s entry slot.,Insert the new disk into the disk drive with the notch at the bottom facing the drive’s entry slot.,"Insert the new disk into the disk drive, with the notch at the bottom facing the drive’s entry slot."
"Replace the fuel lines and electrical conduits, which have cracks or damaged B-nut fittings, to prevent leaks and ensure safe operation.","Replace the fuel lines and electrical conduits, which have cracks or damaged B-nut fittings to prevent leaks and ensure safe operation.",Replace the fuel lines and electrical conduits which have cracks or damaged B-nut fittings to prevent leaks and ensure safe operation.
The processor accepts data from input devices and checks it before computing to ensure accuracy and prevent errors.,The processor accepts data from input devices and checks it before computing to ensure accuracy and prevent errors.,"The processor accepts data from input devices, and checks it before computing to ensure accuracy and prevent errors."
"The orifice through which the exhaust gases leave the chamber, is larger than the intake valve opening.","The orifice through which the exhaust gases leave the chamber, is larger than the intake valve opening.","The orifice, through which the exhaust gases leave the chamber is larger than the intake valve opening."
"Take no action, as the camera operates automatically under all lighting conditions.",Take no action as the camera operates automatically under all lighting conditions.,"Take no action, as the camera operates automatically under all lighting conditions."
"The species of fish supported by the reef are varied, and abundant food supplies are available to sustain their populations.",The species of fish supported by the reef are varied and abundant food supplies are available to sustain their populations.,"The species of fish supported by the reef are varied, and abundant food supplies are available to sustain their populations."
"At high temperatures, all the ceramic materials show ductility, and hardness decreases considerably, leading to a higher risk of deformation under load.","At high temperatures, all the ceramic materials show ductility and hardness decreases considerably, leading to a higher risk of deformation under load.","At high temperatures, all the ceramic materials show ductility, and hardness decreases considerably, leading to a higher risk of deformation under load."
"This produces hard copy that can be retained, but printed sheets are bulky to handle, so digital storage and viewing are often preferred.","This produces hard copy that can be retained but printed sheets are bulky to handle, so digital storage and viewing are often preferred.","This produces hard copy that can be retained, but printed sheets are bulky to handle, so digital storage and viewing are often preferred."
"Connection to PTT-supplied packet-switch networks will be a prime requirement of the workstation, and gateways into these networks are planned by the PTTs to ensure seamless data communication.",Connection to PTT-supplied packet-switch networks will be a prime requirement of the workstation and gateways into these networks are planned by the PTTs to ensure seamless data communication.,"Connection to PTT-supplied packet-switch networks will be a prime requirement of the workstation, and gateways into these networks are planned by the PTTs to ensure seamless data communication."
The system consistently achieved 50 gallons per hour optimum output.,The system consistently achieved 50 gallons per hour optimum output.,The system consistently achieved 50 gallons per hour — optimum output.
percentage reduction is critical: over and under reduction cause the ink to be very uneven and prone to smudging.,percentage reduction is critical: over and under reduction cause the ink to be very uneven and prone to smudging.,percentage reduction is critical: over- and underreduction cause the ink to be very uneven and prone to smudging.
Adopting a user-centered approach is a realistic strategy in the design of both paper and screen based forms.,Adopting a user-centered approach is a realistic strategy in the design of both paper and screen based forms.,Adopting a user-centered approach is a realistic strategy in the design of both paper- and screen-based forms.
Morphological studies of paraquat or oxygen toxicity in rats have shown significant cellular damage in lung tissue.,Morphological studies of paraquat or oxygen toxicity in rats have shown significant cellular damage in lung tissue.,Morphological studies of paraquat- or oxygen-toxicity in rats have shown significant cellular damage in lung tissue.
"One should read G. V. Carey’s chapter, ""Proof Correction,"" in Mind the Stop.",One should read G. V. Carey’s chapter Proof Correction in Mind the Stop.,One should read G. V. Carey’s chapter ‘Proof Correction’ in Mind the Stop.
"The glass content of this material is low, 10% by weight, for this application.","The glass content of this material is low, 10% by weight, for this application.","The glass content of this material is low, (10% by weight), for this application."
"During the experiment, the animals will be fed with water, via an automatic system, ad libitum.","During the experiment, the animals will be fed with water, via an automatic system, ad libitum.","During the experiment, the animals will be fed with water, (via an automatic system), ad libitum."
a water:glycol ratio of 60:40 is preferred.,a water:glycol ratio of 60:40 is preferred.,a water/glycol ratio of 60/40 is preferred.
It has thickness of only 16:240 inch.,It has thickness of only 16:240 inch.,It has thickness of only 16/240 inch.
